sym_nr,pis,ko,psl,konf,lew,bs,inni
365,39.014,27.873,8.792,10.679,10.333,2.599,0.71
366,35.055,32.357,10.447,8.956,10.097,2.136,0.952
367,37.982,29.265,9.883,10.273,9.429,3.015,0.153
368,38.538,27.644,10.372,11.002,9.222,2.232,0.99
369,37.971,31.477,9.457,9.517,8.864,1.828,0.886
370,36.51,31.071,8.711,11.817,8.994,2.08,0.817
371,37.382,27.214,10.223,11.431,9.948,2.916,0.885
372,37.652,29.531,9.893,10.777,9.202,2.164,0.781
373,36.929,29.172,9.845,12.519,7.494,3.087,0.954
374,37.12,28.908,9.276,9.661,11.488,3.139,0.407
375,36.861,26.281,9.833,11.39,11.714,3.317,0.604
376,38.135,28.045,9.23,10.536,10.312,2.981,0.761
377,39.094,28.961,9.51,9.589,9.621,2.56,0.665
378,35.848,30.572,9.449,12.371,8.729,2.173,0.856
379,38.111,28.607,8.603,10.955,10.605,2.301,0.816
380,37.386,29.614,9.923,10.583,8.988,2.807,0.7
381,38.095,31.491,9.851,8.883,9.096,1.566,1.018
382,39.378,28.207,8.631,10.109,10.447,2.488,0.741
383,38.051,27.964,10.231,10.058,9.76,2.785,1.151
384,36.759,30.994,8.885,9.957,10.821,2.025,0.559
385,38.645,28.652,10.139,10.62,8.874,2.492,0.579
386,37.021,31.158,8.632,10.8,9.204,2.354,0.83
387,35.56,31.341,9.187,10.616,10.832,2.038,0.426
388,40.433,28.388,9.604,10.31,8.89,1.874,0.502
389,37.134,29.202,10.784,10.327,9.37,2.075,1.109
390,36.933,27.608,10.027,11.808,10.582,2.772,0.27
391,38.063,25.998,10.385,12.894,10.049,1.885,0.725
392,36.76,29.524,10.232,10.065,10.064,2.424,0.93
393,36.831,30.162,9.491,10.597,9.933,2.104,0.882
394,37.773,26.445,10.912,10.783,9.899,3.075,1.113
395,39.21,30.205,8.384,10.579,10.005,1.434,0.183
396,37.584,32.246,8.84,9.694,8.903,2.256,0.477
397,34.666,30.437,11.225,11.776,8.996,2.53,0.369
398,38.987,28.599,11.157,9.926,8.564,1.669,1.099
399,36.685,27.839,9.775,12.514,10.38,2.174,0.634
400,36.209,31.53,9.105,10.495,9.931,1.705,1.026
401,38.524,28.928,10.859,10.679,8.362,1.727,0.921
402,36.77,29.428,10.919,10.946,8.302,2.357,1.277
403,35.659,31.908,9.607,9.831,9.179,2.987,0.828
404,37.49,29.275,10.241,10.463,9.905,2.122,0.505
405,39.185,29.956,8.781,10.689,8.455,1.982,0.952
406,38.226,29.237,10.577,9.767,8.203,3.168,0.821
407,38.646,32.312,7.521,8.802,9.133,2.396,1.191
408,36.308,29.219,10.366,11.767,8.485,2.773,1.082
409,40.284,27.643,7.583,12.409,10.088,1.683,0.311
410,38.471,28.875,9.905,9.954,8.513,3.766,0.515
411,35.65,32.915,9.436,9.662,9.348,2.202,0.787
412,39.071,29.868,8.915,10.277,8.521,3.044,0.304
413,36.334,32.836,8.777,9.772,9.28,2.183,0.818
414,38.968,28.088,10.115,11.087,8.759,2.089,0.895
415,38.607,30.57,10.687,9.793,7.92,1.703,0.721
416,38.305,29.599,9.989,9.505,9.446,2.209,0.948
417,35.842,29.184,10.339,11.301,10.863,2.02,0.451
418,38.651,28.235,10.735,10.689,8.11,2.536,1.043
419,37.826,30.663,9.996,10.485,8.398,2.369,0.263
420,37.685,32.036,8.231,9.948,9.144,2.01,0.947
421,37.735,30.464,7.99,9.853,11.17,1.77,1.018
422,39.204,29.969,10.158,10.653,7.641,2.053,0.321
423,35.873,29.165,9.57,11.47,10.413,2.932,0.577
424,36.769,29.767,10.106,11.522,8.516,2.441,0.879
425,39.131,30.625,10.686,9.604,8.293,1.435,0.227
426,40.598,26.88,9.787,9.476,10.607,2.431,0.222
427,40.839,29.584,10.293,8.19,8.573,2.043,0.477
428,39.636,27.731,10.04,9.13,10.308,2.197,0.957
429,37.147,28.781,10.904,10.306,9.57,2.358,0.933
430,36.793,30.26,9.752,9.734,10.185,2.374,0.902
431,38.882,29.169,11.151,10.031,9.271,1.065,0.432
432,36.474,30.409,10.39,10.093,9.335,2.58,0.72
433,36.765,31.312,8.211,11.201,9.037,2.522,0.951
434,39.551,28.98,9.319,10.508,8.777,2.341,0.523
435,38.812,30.902,9.394,10.16,8.071,1.96,0.701
436,34.728,30.879,10.186,11.549,9.32,2.536,0.803
437,35.796,28.681,11.691,10.512,9.261,2.946,1.113
438,39.119,28.288,9.674,7.769,11.814,2.756,0.58
439,37.699,30.714,7.579,10.511,9.975,2.802,0.719
440,37.374,29.084,11.994,11.064,7.911,1.8,0.774
441,35.261,28.819,10.343,10.823,11.904,1.829,1.021
442,39.549,27.925,10.315,10.336,9.444,1.458,0.974
443,39.756,25.976,12.024,10.011,8.919,2.677,0.636
444,37.508,29.793,9.53,10.876,8.678,3.14,0.476
445,38.191,28.062,10.447,10.383,10.596,1.784,0.537
446,35.86,32.455,9.336,10.881,8.697,2.089,0.682
447,36.952,29.844,9.536,10.086,10.561,2.132,0.888
448,36.782,31.229,9.386,10.799,9.601,1.672,0.53
449,37.444,27.429,10.618,11.466,10.035,2.043,0.966
450,37.918,29.358,10.205,10.991,8.826,1.982,0.72
451,37.016,28.451,11.2,10.978,9.95,2.124,0.281
